"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10303"	6	0	0	0	0	1.66666666666667	4.33333333333333	3.88888888888889	0	9	2	1
"X10304"	15.8888888888889	0.333333333333333	6.88888888888889	1.44444444444444	103.222222222222	2.44444444444444	50.7777777777778	15.2222222222222	2.55555555555556	48.4444444444444	25	11
"X10311"	14.7777777777778	3.55555555555556	14	8.88888888888889	16.4444444444444	13.6666666666667	13.1111111111111	14.2222222222222	19.4444444444444	9.22222222222222	13	14
"X10312"	3.77777777777778	1.77777777777778	5.22222222222222	1.55555555555556	7.77777777777778	3.55555555555556	5.55555555555556	4.66666666666667	4.22222222222222	4.88888888888889	4	4
"X10313"	3.44444444444444	1.55555555555556	2.22222222222222	0.111111111111111	5.55555555555556	1.55555555555556	2.77777777777778	2.22222222222222	3	1.55555555555556	2	2
"X10314"	0	1.88888888888889	3.77777777777778	0	3.33333333333333	0.222222222222222	22.8888888888889	1.11111111111111	1.66666666666667	3.44444444444444	4	2
"X10319"	43.2222222222222	17.8888888888889	30.3333333333333	16.6666666666667	33.3333333333333	50.6666666666667	20.4444444444444	29.6666666666667	23	23.2222222222222	29	26
"X10321"	5.11111111111111	1.77777777777778	2	10.8888888888889	21.6666666666667	1.22222222222222	26.8888888888889	24.4444444444444	0.888888888888889	14.1111111111111	11	8
"X10401"	23.5555555555556	17.5555555555556	19.5555555555556	18.8888888888889	25.4444444444444	38.3333333333333	22.3333333333333	31.5555555555556	20.7777777777778	24.6666666666667	24	23
"X10402"	25.5555555555556	17.6666666666667	24.6666666666667	22.6666666666667	24	31.3333333333333	20.8888888888889	35.7777777777778	21.5555555555556	21.1111111111111	25	23
"X10501"	35	33.7777777777778	34	26.6666666666667	43.3333333333333	49.8888888888889	29.2222222222222	35.5555555555556	30	39.2222222222222	36	34
"X10502"	39	44.2222222222222	43.2222222222222	40.3333333333333	45.4444444444444	57.7777777777778	38.1111111111111	41	39.7777777777778	52.1111111111111	44	42
"X10511"	31.8888888888889	16.7777777777778	30.8888888888889	25.8888888888889	36	44.6666666666667	18.2222222222222	33.2222222222222	27.4444444444444	31.8888888888889	30	31
"X10521"	26.2222222222222	23.3333333333333	28.7777777777778	19.4444444444444	31	35	23.2222222222222	30.8888888888889	26.6666666666667	23.3333333333333	27	26
"X10601"	12.6666666666667	1.11111111111111	0.111111111111111	9.33333333333333	11	9.22222222222222	4	15.3333333333333	6.77777777777778	3.11111111111111	7	8
"X10701"	32.5555555555556	16.7777777777778	16.7777777777778	20.3333333333333	26.3333333333333	32.3333333333333	18.5555555555556	37.7777777777778	13.7777777777778	27.6666666666667	24	23
"X10703"	46.3333333333333	42.3333333333333	50.2222222222222	41	56	53.4444444444444	39.3333333333333	46.4444444444444	39.5555555555556	52.5555555555556	47	46
"X10801"	24.1111111111111	17.3333333333333	23.8888888888889	18.3333333333333	29.1111111111111	39	29.8888888888889	31.3333333333333	33.4444444444444	29.8888888888889	28	30
"X10901"	11.4444444444444	0.444444444444444	4.44444444444444	34.3333333333333	31.5555555555556	5.22222222222222	42.1111111111111	16.4444444444444	1.77777777777778	23.6666666666667	17	14
"X10902"	10.8888888888889	0.666666666666667	3.66666666666667	31.1111111111111	42	4.77777777777778	66	13.6666666666667	0.777777777777778	13.1111111111111	19	12
"X10903"	9.55555555555556	1	0.555555555555556	28	45.2222222222222	1.77777777777778	36.2222222222222	15.7777777777778	0	12	15	11
"X10904"	24.2222222222222	0.888888888888889	1.22222222222222	42.1111111111111	56.6666666666667	5.33333333333333	9.44444444444444	16.1111111111111	4.33333333333333	12.5555555555556	17	11
"X10911"	8.44444444444444	2.88888888888889	5.11111111111111	2.33333333333333	5.88888888888889	4.22222222222222	6.33333333333333	5.66666666666667	2.66666666666667	7.11111111111111	5	5
"X11001"	28.4444444444444	17.4444444444444	28.2222222222222	15.2222222222222	27.3333333333333	33.4444444444444	28.4444444444444	33.8888888888889	31.8888888888889	30	27	28
"X11101"	33.1111111111111	24.4444444444444	35.5555555555556	25.8888888888889	37.5555555555556	40	23.4444444444444	42.1111111111111	26.5555555555556	35.5555555555556	32	34
"X11201"	32.1111111111111	18.7777777777778	30.1111111111111	19.2222222222222	28	37.7777777777778	30.7777777777778	37	32.7777777777778	33.1111111111111	30	31
"X11301"	23.4444444444444	8.66666666666667	20.3333333333333	13.7777777777778	20.8888888888889	23.6666666666667	18	26.2222222222222	20.3333333333333	23.3333333333333	20	21
"X11401"	25.7777777777778	2.66666666666667	18.6666666666667	10.5555555555556	17.2222222222222	22.1111111111111	13.4444444444444	21.1111111111111	16.4444444444444	20.8888888888889	17	18
"X11501"	9.11111111111111	1	3	3.66666666666667	15	3.33333333333333	28.4444444444444	7.77777777777778	0.555555555555556	14.6666666666667	9	6
"X11502"	7.55555555555556	2.33333333333333	1	3.33333333333333	17.7777777777778	2.22222222222222	26.4444444444444	14.2222222222222	0.222222222222222	6.66666666666667	8	5
"X20001"	40.4444444444444	35.2222222222222	40.8888888888889	36.8888888888889	39.5555555555556	50.6666666666667	32.6666666666667	52.6666666666667	38.4444444444444	43.8888888888889	41	40
"X20002"	40.2222222222222	34.8888888888889	41.1111111111111	36.8888888888889	39.8888888888889	50.3333333333333	32.7777777777778	52.1111111111111	38.7777777777778	44.1111111111111	41	40
"X20003"	41	35.8888888888889	41.5555555555556	35.6666666666667	40.3333333333333	51.5555555555556	32.8888888888889	51	39.2222222222222	45.1111111111111	41	41
"X20004"	40.7777777777778	36	40.8888888888889	35.2222222222222	40.8888888888889	49.2222222222222	32	49.1111111111111	39	45.4444444444444	41	41
"X20005"	40.4444444444444	35.4444444444444	40.1111111111111	34	41.1111111111111	49.5555555555556	30.4444444444444	46.8888888888889	36.8888888888889	47.8888888888889	40	40
"X20006"	40.6666666666667	35	41.1111111111111	33.3333333333333	41.3333333333333	48.4444444444444	30.4444444444444	46.3333333333333	37.1111111111111	47.2222222222222	40	41
"X20007"	45.2222222222222	40.1111111111111	46.4444444444444	35.8888888888889	42.4444444444444	48.7777777777778	33.1111111111111	48.5555555555556	41.4444444444444	46.5555555555556	43	44
"X20008"	43.7777777777778	40.3333333333333	46.4444444444444	35.4444444444444	43.8888888888889	50.6666666666667	30.6666666666667	47.6666666666667	39.6666666666667	44.8888888888889	42	44
"X20009"	42.1111111111111	41	49.2222222222222	36.5555555555556	43.2222222222222	53.6666666666667	29.1111111111111	46.8888888888889	43.5555555555556	44.5555555555556	43	43
"X20101"	49.8888888888889	71.8888888888889	49.8888888888889	56	57.2222222222222	65.7777777777778	61.6666666666667	49.7777777777778	39.1111111111111	79.6666666666667	58	57
"X20201"	49	51	49	41.3333333333333	45.2222222222222	58.3333333333333	40.8888888888889	59.4444444444444	47.1111111111111	36.8888888888889	48	48
"X20202"	48.7777777777778	52.1111111111111	48.4444444444444	40.3333333333333	44.7777777777778	56.2222222222222	42.4444444444444	57.4444444444444	45.6666666666667	38.7777777777778	48	47
"X20203"	48.7777777777778	51.4444444444444	51	40.4444444444444	44.6666666666667	54.2222222222222	40.4444444444444	53.7777777777778	48.3333333333333	41.3333333333333	47	49
"X20301"	60.7777777777778	97.4444444444444	37.7777777777778	57.2222222222222	63.3333333333333	60.8888888888889	54.8888888888889	68.6666666666667	40.7777777777778	72.8888888888889	61	61
"X20401"	38	30.5555555555556	37.8888888888889	29.2222222222222	40.2222222222222	47.3333333333333	25.3333333333333	43.2222222222222	34.5555555555556	44.8888888888889	37	38
"X20402"	35.5555555555556	30.2222222222222	37.3333333333333	27.2222222222222	38.2222222222222	47.1111111111111	20.5555555555556	43	33	42.2222222222222	35	36
"X20411"	48.7777777777778	37.3333333333333	48.5555555555556	45	54.8888888888889	75.3333333333333	38.6666666666667	51.3333333333333	39.2222222222222	48.3333333333333	49	48
"X20421"	38.8888888888889	25.4444444444444	36.4444444444444	30.6666666666667	37.2222222222222	49.8888888888889	23.5555555555556	41.2222222222222	34.1111111111111	44.8888888888889	36	37
"X20422"	33.8888888888889	23.8888888888889	32.2222222222222	32.4444444444444	34.5555555555556	48.6666666666667	23.4444444444444	38.3333333333333	32.6666666666667	45.8888888888889	35	33
"X20431"	33.7777777777778	29.8888888888889	37	26.4444444444444	35	41.5555555555556	19.3333333333333	34.6666666666667	34	35.3333333333333	33	34
"X20432"	8.33333333333333	3.88888888888889	1	1.33333333333333	1.44444444444444	1.88888888888889	1.66666666666667	0.666666666666667	1	1.22222222222222	2	1
"X20501"	47.3333333333333	40	51.6666666666667	35.7777777777778	42.7777777777778	49.4444444444444	32.1111111111111	50.2222222222222	45.8888888888889	44.8888888888889	44	45
"X20601"	45.7777777777778	46.8888888888889	48	37.8888888888889	45.7777777777778	51.2222222222222	32.2222222222222	47.5555555555556	40.3333333333333	47.2222222222222	44	46
"X30000"	1.33333333333333	0	0.555555555555556	0	0.333333333333333	0.111111111111111	1	1.66666666666667	0.333333333333333	0.777777777777778	1	0
"X30001"	12.2222222222222	0.222222222222222	6.66666666666667	2.77777777777778	7	7.77777777777778	19.3333333333333	8.22222222222222	5.33333333333333	23.3333333333333	9	7
"X30002"	9.11111111111111	0	6.88888888888889	2	6.44444444444444	5.33333333333333	8.44444444444444	5.66666666666667	4.44444444444444	14.8888888888889	6	6
"X30003"	9.11111111111111	0	7.33333333333333	2	5.88888888888889	5.33333333333333	7.55555555555556	8.55555555555556	4.11111111111111	11.4444444444444	6	7
"X30004"	8	0	6.88888888888889	2.22222222222222	2.55555555555556	4.88888888888889	7.55555555555556	6	4.33333333333333	9.44444444444444	5	5
"X30005"	6.11111111111111	1.66666666666667	6.55555555555556	2.44444444444444	2.66666666666667	5.22222222222222	6	6.44444444444444	3.44444444444444	8.33333333333333	5	6
"X30006"	4.33333333333333	0.777777777777778	3.55555555555556	1.33333333333333	1.66666666666667	4	4.11111111111111	4.33333333333333	2.11111111111111	6	3	4
"X30007"	4.11111111111111	0.333333333333333	3.55555555555556	1.33333333333333	1.44444444444444	3.88888888888889	3.77777777777778	3.55555555555556	2.22222222222222	5.55555555555556	3	4
"X30008"	3.55555555555556	1.77777777777778	3.88888888888889	1.33333333333333	0.888888888888889	2.22222222222222	3.88888888888889	2.44444444444444	1.77777777777778	5.55555555555556	3	2
"X30009"	2.33333333333333	0	2	0.444444444444444	0.444444444444444	0.555555555555556	2.33333333333333	2	1.22222222222222	1.88888888888889	1	2
"X30101"	41.4444444444444	38.1111111111111	35.5555555555556	26.8888888888889	29.8888888888889	46.4444444444444	27.2222222222222	37.1111111111111	35.4444444444444	36.5555555555556	35	36
"X30201"	16.3333333333333	0.444444444444444	5.33333333333333	5.22222222222222	4.77777777777778	6.22222222222222	11	9.55555555555556	2.44444444444444	13.1111111111111	7	6
"X30202"	10.7777777777778	0.222222222222222	2.22222222222222	3.66666666666667	7.55555555555556	6.66666666666667	17.4444444444444	9.66666666666667	3.88888888888889	7.66666666666667	7	7
"X30203"	9.33333333333333	0.888888888888889	6.55555555555556	1.77777777777778	8.33333333333333	6.55555555555556	16.5555555555556	18.7777777777778	3.44444444444444	4.88888888888889	8	7
"X30204"	5.33333333333333	1.11111111111111	3.66666666666667	2.55555555555556	2.11111111111111	4.11111111111111	5.77777777777778	7.11111111111111	2.11111111111111	3.22222222222222	4	3
"X30211"	11.4444444444444	2.44444444444444	7.55555555555556	9.11111111111111	6.66666666666667	2.22222222222222	7.55555555555556	9.44444444444444	2.55555555555556	12.7777777777778	7	8
"X30301"	14.4444444444444	0.444444444444444	3.77777777777778	10.5555555555556	8.55555555555556	7.66666666666667	5.55555555555556	12.2222222222222	4.66666666666667	9	8	8
"X30302"	10.2222222222222	1.11111111111111	1.88888888888889	10.7777777777778	9.77777777777778	2.55555555555556	1.77777777777778	8.55555555555556	1.55555555555556	3.66666666666667	5	3
"X30303"	10	1.11111111111111	2.22222222222222	7.77777777777778	9.44444444444444	2	1.55555555555556	7.44444444444444	2.22222222222222	2.88888888888889	5	3
"X30311"	7.44444444444444	0.333333333333333	5.22222222222222	2.77777777777778	4.11111111111111	1.55555555555556	5.22222222222222	3.11111111111111	1.33333333333333	5.55555555555556	4	4
"X30321"	2.77777777777778	3.44444444444444	4.22222222222222	4	3.66666666666667	1.33333333333333	4.44444444444444	2.33333333333333	3.33333333333333	7.66666666666667	4	4
"X30401"	4.66666666666667	1.88888888888889	2.33333333333333	2.22222222222222	5	0.888888888888889	3.22222222222222	2.55555555555556	3.66666666666667	10	4	3
"X30501"	4.22222222222222	0.222222222222222	3.88888888888889	0.888888888888889	1.77777777777778	2.44444444444444	4.55555555555556	4.88888888888889	1.66666666666667	2.22222222222222	3	2
"X30601"	7.55555555555556	3.77777777777778	6.22222222222222	3.66666666666667	14.2222222222222	7.22222222222222	6.88888888888889	34.1111111111111	5.44444444444444	6.77777777777778	10	7
"X30701"	1.66666666666667	0.444444444444444	0.777777777777778	0	0.333333333333333	2	1.55555555555556	2.22222222222222	0.777777777777778	1.55555555555556	1	1
"X30801"	13.7777777777778	0	5.88888888888889	8.77777777777778	33.6666666666667	11.2222222222222	14.7777777777778	13.1111111111111	8.22222222222222	9.77777777777778	12	10
"X4101"	44.4444444444444	47.6666666666667	50	44	49.6666666666667	56.8888888888889	37.3333333333333	50.6666666666667	46.6666666666667	49.7777777777778	48	49
"X4201"	46.6666666666667	40.3333333333333	52.6666666666667	41.1111111111111	48.6666666666667	52.2222222222222	33.5555555555556	48.4444444444444	46	47.7777777777778	46	47
"X4301"	37.4444444444444	38.7777777777778	50	41.3333333333333	48.7777777777778	56.3333333333333	29.2222222222222	42.5555555555556	42.7777777777778	44	43	43
"X4401"	41	40.4444444444444	44.6666666666667	37.2222222222222	41.2222222222222	53.6666666666667	31.7777777777778	48.8888888888889	43.8888888888889	45.6666666666667	43	43
"X4402"	44.3333333333333	39.6666666666667	51.4444444444444	39.1111111111111	45.8888888888889	53.7777777777778	33.5555555555556	51	45.1111111111111	47	45	46
